,x,y,z,s1,cs1,cs2_bottom,s2,cs2
2424863,44.60761,-16.140303,-81.1115,1472.265,1541.8375,7569.98,28449.334,30523.854
2425022,20.403397,38.085876,-106.53025,1615.997,1473.3436,9292.975,30439.666,36849.746
2425415,3.3603868,21.401445,-132.65282,11.067498,7.987218,371.46112,1375.4712,1532.545
2425424,21.014141,51.28759,-98.18489,196.77332,191.95686,1086.4237,3463.103,4247.6704
2426145,38.63758,45.14524,-31.826248,765.07135,941.7705,5703.4805,19639.66,22645.492
2426265,58.906364,-12.147489,-106.1185,447.0033,439.44943,1694.807,5850.9316,6774.1533
2427346,-15.500127,38.552242,-59.597504,1271.3766,1424.1714,12650.895,45522.297,50846.395
2427626,-11.248254,-57.07951,-117.637375,1237.2941,1099.8629,9998.426,35357.938,39480.78
2427698,1.7569706,12.636569,-24.382147,813.53766,933.3415,4758.7686,21658.86,19656.559
2427703,-4.1999745,-8.390447,-25.140306,633.20703,723.6647,5059.089,21675.139,20282.633
2427707,-18.096115,-47.210575,-82.81298,1079.899,1120.3595,8559.63,31269.553,34963.855
2428376,-14.485731,-30.304064,-35.890694,1298.5315,1495.3334,10679.353,42229.902,42084.098
2428383,36.096752,39.966434,-131.80421,777.72577,618.3733,2572.5808,7842.9033,9835.353
2428408,11.861262,-9.345194,-91.91265,463.0644,430.67856,1670.9493,7429.801,6751.229
2428428,18.7094,-23.701578,-62.915264,1325.2786,1435.1715,9486.827,40443.914,37752.617
2428839,4.5543556,26.901878,-119.540474,556.4006,441.7205,2025.886,7263.6562,8217.195
2428978,-26.535309,27.942135,-21.805605,65.89049,78.602875,957.01965,4075.839,4227.479
2429175,-13.223976,-7.4200373,-98.826744,1289.6578,1159.0917,9409.313,40329.91,37873.78
2429343,12.084634,-10.662143,-28.746088,1270.0355,1452.5745,9099.246,44791.85,36255.836
2429389,-36.002754,32.833218,-63.966373,572.0261,646.0101,2254.5266,7942.5586,8821.206
2429527,-34.237827,-36.00454,-45.23229,652.5886,762.83185,4168.878,15116.941,16804.787
2429559,1.07652,-22.64375,-47.527084,1374.2877,1531.0718,8714.25,37811.926,35271.625
2430132,50.769096,-26.278528,-125.940956,296.4964,252.96225,1483.358,5034.995,5927.8213
2430268,4.6041083,22.03854,-28.718077,370.37115,426.26962,1836.8848,7896.3823,7690.067
2430342,5.277362,-1.750042,-18.558989,1277.7981,1467.1366,10277.277,43811.656,41078.348
2430371,18.898722,-29.376125,-92.445435,716.5044,690.51733,4685.173,18850.305,18574.578
2430492,21.317724,-29.080725,-40.06003,491.4916,566.93097,2778.7908,11823.895,10926.162
2430560,-8.119031,17.172117,-51.489742,1397.9882,1545.4056,8058.802,38935.05,32694.574
